Local_CORNERS_AF_AVG,Local_CORNERS_EC_AVG,Visitante_CORNERS_AF_AVG,Visitante_CORNERS_EC_AVG,Local_ST_AF_AVG,Local_ST_EC_AVG,Visitante_ST_AF_AVG,Visitante_ST_EC_AVG,FACTOR_LOCAL,CORNERS_TOTAL_PARTIDO
3.7,5.4,5.4,3.7,12.35,12.2,12.2,12.35,1,8
5.3,4.8,4.8,5.3,13.1,14.0,14.0,13.1,1,15
5.5,6.5,6.5,5.5,13.6,14.0,14.0,13.6,1,9
5.5,6.8,6.8,5.5,11.0,18.5,18.5,11.0,1,4
5.7,6.0,6.0,5.7,12.05,15.8,15.8,12.05,1,8
6.2,4.3,4.3,6.2,11.85,12.399999999999999,12.399999999999999,11.85,1,6
7.300000000000001,4.2,4.2,7.300000000000001,15.75,13.9,13.9,15.75,1,9
5.2,6.1,6.1,5.2,15.0,12.350000000000001,12.350000000000001,15.0,1,8
4.9,5.1,5.1,4.9,11.75,14.149999999999999,14.149999999999999,11.75,1,10
3.8,6.199999999999999,6.199999999999999,3.8,11.0,15.799999999999999,15.799999999999999,11.0,1,15
5.3,5.4,5.4,5.3,12.200000000000001,14.2,14.2,12.200000000000001,1,8
3.0,5.9,5.9,3.0,12.25,12.1,12.1,12.25,1,9
4.8,4.8,4.8,4.8,14.15,10.649999999999999,10.649999999999999,14.15,1,5
4.9,5.1,5.1,4.9,13.649999999999999,12.75,12.75,13.649999999999999,1,11
6.6,4.9,4.9,6.6,14.1,12.85,12.85,14.1,1,15
6.0,3.8000000000000003,3.8000000000000003,6.0,11.8,13.149999999999999,13.149999999999999,11.8,1,7
5.0,4.3,4.3,5.0,14.2,10.25,10.25,14.2,1,7
5.1,3.9,3.9,5.1,14.100000000000001,12.7,12.7,14.100000000000001,1,19
5.8,5.0,5.0,5.8,10.75,15.4,15.4,10.75,1,9
5.5,5.699999999999999,5.699999999999999,5.5,14.7,12.8,12.8,14.7,1,12
5.699999999999999,4.8,4.8,5.699999999999999,15.9,10.850000000000001,10.850000000000001,15.9,1,12
6.2,4.6,4.6,6.2,14.75,14.6,14.6,14.75,1,8
4.1,6.0,6.0,4.1,8.600000000000001,18.55,18.55,8.600000000000001,1,4
6.2,3.9,3.9,6.2,15.15,9.95,9.95,15.15,1,15
2.8,5.9,5.9,2.8,11.350000000000001,13.45,13.45,11.350000000000001,1,11
3.5,5.8,5.8,3.5,11.2,12.35,12.35,11.2,1,8
6.3,4.3,4.3,6.3,17.950000000000003,11.149999999999999,11.149999999999999,17.950000000000003,1,12
4.1,5.300000000000001,5.300000000000001,4.1,13.6,14.1,14.1,13.6,1,3
5.4,5.3,5.3,5.4,15.05,11.649999999999999,11.649999999999999,15.05,1,9
5.4,4.0,4.0,5.4,12.4,14.25,14.25,12.4,1,9
5.0,5.6,5.6,5.0,12.600000000000001,12.5,12.5,12.600000000000001,1,13
3.9,6.0,6.0,3.9,10.2,14.85,14.85,10.2,1,7
5.0,4.2,4.2,5.0,13.350000000000001,11.25,11.25,13.350000000000001,1,6
5.699999999999999,3.5999999999999996,3.5999999999999996,5.699999999999999,13.1,11.5,11.5,13.1,1,14
3.4000000000000004,6.199999999999999,6.199999999999999,3.4000000000000004,11.8,13.75,13.75,11.8,1,10
4.8,4.5,4.5,4.8,10.350000000000001,14.9,14.9,10.350000000000001,1,9
5.2,4.9,4.9,5.2,16.6,12.649999999999999,12.649999999999999,16.6,1,13
6.1,4.0,4.0,6.1,13.5,9.65,9.65,13.5,1,11
3.6,4.7,4.7,3.6,14.05,15.2,15.2,14.05,1,6
6.2,4.0,4.0,6.2,15.350000000000001,13.4,13.4,15.350000000000001,1,17
3.7,4.6,4.6,3.7,10.149999999999999,13.450000000000001,13.450000000000001,10.149999999999999,1,7
5.5,6.300000000000001,6.300000000000001,5.5,11.55,14.2,14.2,11.55,1,11
3.8,5.0,5.0,3.8,12.0,13.7,13.7,12.0,1,11
5.6,4.7,4.7,5.6,13.95,11.3,11.3,13.95,1,6
3.4,5.8,5.8,3.4,9.7,17.1,17.1,9.7,1,10
4.7,3.8000000000000003,3.8000000000000003,4.7,15.0,10.75,10.75,15.0,1,9
4.1,5.6,5.6,4.1,14.350000000000001,13.8,13.8,14.350000000000001,1,12
4.5,5.9,5.9,4.5,12.6,11.45,11.45,12.6,1,10
6.2,5.2,5.2,6.2,15.350000000000001,12.4,12.4,15.350000000000001,1,7
5.6,4.4,4.4,5.6,12.2,15.399999999999999,15.399999999999999,12.2,1,11
5.9,3.8,3.8,5.9,16.75,11.0,11.0,16.75,1,6
5.5,3.0999999999999996,3.0999999999999996,5.5,12.45,10.35,10.35,12.45,1,6
3.8,5.4,5.4,3.8,12.149999999999999,15.2,15.2,12.149999999999999,1,11
4.0,3.5999999999999996,3.5999999999999996,4.0,13.05,10.55,10.55,13.05,1,3
3.9000000000000004,5.4,5.4,3.9000000000000004,13.15,14.649999999999999,14.649999999999999,13.15,1,7
4.9,6.0,6.0,4.9,10.3,15.649999999999999,15.649999999999999,10.3,1,10
4.8,4.6,4.6,4.8,11.899999999999999,12.7,12.7,11.899999999999999,1,13
5.0,3.6,3.6,5.0,14.65,10.45,10.45,14.65,1,11
3.9,6.0,6.0,3.9,8.7,17.25,17.25,8.7,1,3
6.699999999999999,4.7,4.7,6.699999999999999,19.35,12.3,12.3,19.35,1,6
4.3,5.3,5.3,4.3,12.95,11.6,11.6,12.95,1,10
3.9,5.7,5.7,3.9,8.7,15.149999999999999,15.149999999999999,8.7,1,11
5.8,2.9,2.9,5.8,14.1,9.35,9.35,14.1,1,7
5.1,6.1,6.1,5.1,11.899999999999999,16.8,16.8,11.899999999999999,1,13
4.5,4.4,4.4,4.5,12.899999999999999,12.2,12.2,12.899999999999999,1,11
3.8,4.5,4.5,3.8,16.25,13.25,13.25,16.25,1,7
5.6,5.5,5.5,5.6,14.950000000000001,11.399999999999999,11.399999999999999,14.950000000000001,1,5
5.4,3.5,3.5,5.4,15.75,10.55,10.55,15.75,1,11
4.3,4.9,4.9,4.3,13.25,16.950000000000003,16.950000000000003,13.25,1,10
3.4,5.1,5.1,3.4,12.35,18.2,18.2,12.35,1,11
5.6,4.5,4.5,5.6,15.299999999999999,11.399999999999999,11.399999999999999,15.299999999999999,1,11
3.5999999999999996,6.1,6.1,3.5999999999999996,10.75,13.649999999999999,13.649999999999999,10.75,1,8
3.7,5.8,5.8,3.7,10.25,13.8,13.8,10.25,1,17
5.6,3.3,3.3,5.6,11.0,11.15,11.15,11.0,1,10
4.2,4.2,4.2,4.2,12.7,11.25,11.25,12.7,1,12
5.199999999999999,3.4,3.4,5.199999999999999,15.700000000000001,10.850000000000001,10.850000000000001,15.700000000000001,1,7
5.9,5.2,5.2,5.9,13.3,12.55,12.55,13.3,1,15
6.199999999999999,4.1,4.1,6.199999999999999,15.95,10.75,10.75,15.95,1,14
4.7,5.9,5.9,4.7,10.65,16.4,16.4,10.65,1,11
6.4,4.300000000000001,4.300000000000001,6.4,14.75,11.5,11.5,14.75,1,5
4.9,4.1,4.1,4.9,11.75,13.649999999999999,13.649999999999999,11.75,1,11
4.2,6.9,6.9,4.2,10.55,14.95,14.95,10.55,1,8
4.0,3.9000000000000004,3.9000000000000004,4.0,14.45,11.55,11.55,14.45,1,14
5.4,2.8,2.8,5.4,12.3,12.5,12.5,12.3,1,2
3.8,5.1,5.1,3.8,11.55,12.75,12.75,11.55,1,16
3.8,5.6,5.6,3.8,13.6,13.75,13.75,13.6,1,13
4.6,5.9,5.9,4.6,13.5,12.399999999999999,12.399999999999999,13.5,1,13
4.4,3.9000000000000004,3.9000000000000004,4.4,16.45,10.05,10.05,16.45,1,12
4.5,3.8,3.8,4.5,12.9,14.149999999999999,14.149999999999999,12.9,1,6
4.9,4.6,4.6,4.9,12.95,10.1,10.1,12.95,1,12
4.9,5.3,5.3,4.9,13.75,12.350000000000001,12.350000000000001,13.75,1,10
5.7,4.9,4.9,5.7,12.899999999999999,12.9,12.9,12.899999999999999,1,11
4.3,5.4,5.4,4.3,10.85,13.45,13.45,10.85,1,11
4.4,6.9,6.9,4.4,11.4,14.85,14.85,11.4,1,7
5.6,4.800000000000001,4.800000000000001,5.6,13.8,12.8,12.8,13.8,1,11
5.3,5.0,5.0,5.3,15.7,11.45,11.45,15.7,1,6
5.4,3.9000000000000004,3.9000000000000004,5.4,12.65,11.05,11.05,12.65,1,14
4.0,4.2,4.2,4.0,10.0,14.9,14.9,10.0,1,6
3.6,6.5,6.5,3.6,10.95,13.55,13.55,10.95,1,9
5.4,5.0,5.0,5.4,14.0,10.0,10.0,14.0,1,10
4.7,6.1,6.1,4.7,13.1,12.7,12.7,13.1,1,5
6.7,4.6,4.6,6.7,13.15,14.5,14.5,13.15,1,11
4.4,5.4,5.4,4.4,11.05,12.0,12.0,11.05,1,10
4.0,4.5,4.5,4.0,13.399999999999999,13.8,13.8,13.399999999999999,1,10
4.5,3.8000000000000003,3.8000000000000003,4.5,12.950000000000001,12.3,12.3,12.950000000000001,1,14
6.0,3.5,3.5,6.0,12.8,9.5,9.5,12.8,1,11
5.800000000000001,5.0,5.0,5.800000000000001,14.05,13.95,13.95,14.05,1,9
4.3,4.2,4.2,4.3,11.5,14.45,14.45,11.5,1,7
3.6,6.6,6.6,3.6,10.45,15.05,15.05,10.45,1,9
3.9000000000000004,5.9,5.9,3.9000000000000004,12.75,10.35,10.35,12.75,1,9
5.6,4.5,4.5,5.6,14.45,14.95,14.95,14.45,1,7
3.9000000000000004,4.0,4.0,3.9000000000000004,10.05,13.75,13.75,10.05,1,11
